GEOID10,STATE,COUNTY,land_sqmi,dens2010
01001,Alabama,Autauga,594.44,91.80
01003,Alabama,Baldwin,1589.78,114.65
01005,Alabama,Barbour,884.88,31.03
01007,Alabama,Bibb,622.58,36.81
01009,Alabama,Blount,644.78,88.90
01011,Alabama,Bullock,622.80,17.52
01013,Alabama,Butler,776.83,26.96
01015,Alabama,Calhoun,605.87,195.71
01017,Alabama,Chambers,596.53,57.36
01019,Alabama,Cherokee,553.70,46.94
01021,Alabama,Chilton,692.85,62.99
01023,Alabama,Choctaw,913.50,15.17
01025,Alabama,Clarke,1238.46,20.86
01027,Alabama,Clay,603.96,23.07
01029,Alabama,Cleburne,560.10,26.73
01031,Alabama,Coffee,678.97,73.56
01033,Alabama,Colbert,592.62,91.84
01035,Alabama,Conecuh,850.16,15.56
01037,Alabama,Coosa,650.93,17.73
01039,Alabama,Covington,1030.46,36.65
01041,Alabama,Crenshaw,608.84,22.84
01043,Alabama,Cullman,734.84,109.42
01045,Alabama,Dale,561.15,89.55
01047,Alabama,Dallas,978.69,44.77
01049,Alabama,DeKalb,777.09,91.51
01051,Alabama,Elmore,618.48,128.22
01053,Alabama,Escambia,945.08,40.55
01055,Alabama,Etowah,534.99,195.20
01057,Alabama,Fayette,627.66,27.47
01059,Alabama,Franklin,633.82,50.02
01061,Alabama,Geneva,574.41,46.64
01063,Alabama,Greene,647.11,13.98
01065,Alabama,Hale,643.94,24.47
01067,Alabama,Henry,561.75,30.80
01069,Alabama,Houston,579.82,175.13
01071,Alabama,Jackson,1077.87,49.38
01073,Alabama,Jefferson,1111.28,592.53
01075,Alabama,Lamar,604.85,24.08
01077,Alabama,Lauderdale,667.70,138.85
01079,Alabama,Lawrence,690.68,49.72
01081,Alabama,Lee,607.54,230.85
01083,Alabama,Limestone,559.94,147.84
01085,Alabama,Lowndes,715.91,15.78
01087,Alabama,Macon,608.89,35.23
01089,Alabama,Madison,801.59,417.68
01091,Alabama,Marengo,976.88,21.52
01093,Alabama,Marion,742.29,41.46
01095,Alabama,Marshall,565.84,164.39
01097,Alabama,Mobile,1229.44,335.92
01099,Alabama,Monroe,1025.67,22.49
01101,Alabama,Montgomery,784.25,292.46
01103,Alabama,Morgan,579.34,206.25
01105,Alabama,Perry,719.66,14.72
01107,Alabama,Pickens,881.41,22.40
01109,Alabama,Pike,672.09,48.95
01111,Alabama,Randolph,580.55,39.47
01113,Alabama,Russell,641.14,82.58
01115,Alabama,St Clair,631.90,132.29
01117,Alabama,Shelby,784.93,248.54
01119,Alabama,Sumter,903.89,15.23
01121,Alabama,Talladega,736.78,111.69
01123,Alabama,Tallapoosa,716.52,58.08
01125,Alabama,Tuscaloosa,1321.75,147.27
01127,Alabama,Walker,791.19,84.71
01129,Alabama,Washington,1080.21,16.28
01131,Alabama,Wilcox,888.50,13.13
01133,Alabama,Winston,612.98,39.94
02013,Alaska,Aleutians East,6981.94,0.45
02016,Alaska,Aleutians West,4390.28,1.27
02020,Alaska,Anchorage,1704.68,171.19
