countyfips,STNAME,CTYNAME,TOT_POP,PercentHBAC,dens2010,Eq Type,turnout
1001,Alabama,Autauga County,55601,0.003776910487221453,91.8,Paper ballot,0.43258014827382274
1003,Alabama,Baldwin County,218022,0.0023483868600416473,114.65,Paper ballot,0.43258014827382274
1005,Alabama,Barbour County,24881,0.004300470238334472,31.03,Paper ballot,0.43258014827382274
1007,Alabama,Bibb County,22400,0.0020982142857142857,36.81,Paper ballot,0.43258014827382274
1009,Alabama,Blount County,57840,0.002385892116182573,88.9,Paper ballot,0.43258014827382274
1011,Alabama,Bullock County,10138,0.0139080686525942,17.52,Paper ballot,0.43258014827382274
1013,Alabama,Butler County,19680,0.004166666666666667,26.96,Paper ballot,0.43258014827382274
1015,Alabama,Calhoun County,114277,0.003902797588316109,195.71,Paper ballot,0.43258014827382274
1017,Alabama,Chambers County,33615,0.005176260597947345,57.36,Paper ballot,0.43258014827382274
1019,Alabama,Cherokee County,26032,0.0006146281499692685,46.94,Paper ballot,0.43258014827382274
1021,Alabama,Chilton County,44153,0.004937376848685253,62.99,Paper ballot,0.43258014827382274
1023,Alabama,Choctaw County,12841,0.0020247644264465383,15.17,Paper ballot,0.43258014827382274
1025,Alabama,Clarke County,23920,0.003260869565217391,20.86,Paper ballot,0.43258014827382274
1027,Alabama,Clay County,13275,0.0024858757062146894,23.07,Paper ballot,0.43258014827382274
1029,Alabama,Cleburne County,14987,0.0010008674184293054,26.73,Paper ballot,0.43258014827382274
1031,Alabama,Coffee County,51909,0.007281974224122984,73.56,Paper ballot,0.43258014827382274
1033,Alabama,Colbert County,54762,0.002812169022314744,91.84,Paper ballot,0.43258014827382274
1035,Alabama,Conecuh County,12277,0.00724932801172925,15.56,Paper ballot,0.43258014827382274
1037,Alabama,Coosa County,10715,0.005132991133924405,17.73,Paper ballot,0.43258014827382274
1039,Alabama,Covington County,36986,0.002352241388633537,36.65,Paper ballot,0.43258014827382274
1041,Alabama,Crenshaw County,13824,0.0032552083333333335,22.84,Paper ballot,0.43258014827382274
1043,Alabama,Cullman County,83442,0.002013374559574315,109.42,Paper ballot,0.43258014827382274
1045,Alabama,Dale County,48956,0.00735354195604216,89.55,Paper ballot,0.43258014827382274
1047,Alabama,Dallas County,38310,0.004306969459671104,44.77,Paper ballot,0.43258014827382274
1049,Alabama,DeKalb County,71385,0.004987042095678364,91.51,Paper ballot,0.43258014827382274
1051,Alabama,Elmore County,81887,0.0030529876537179284,128.22,Paper ballot,0.43258014827382274
1053,Alabama,Escambia County,36748,0.0034015456623489714,40.55,Paper ballot,0.43258014827382274
1055,Alabama,Etowah County,102501,0.0028487526950956576,195.2,Paper ballot,0.43258014827382274
1057,Alabama,Fayette County,16433,0.0015213290330432666,27.47,Paper ballot,0.43258014827382274
1059,Alabama,Franklin County,31363,0.008162484456206359,50.02,Paper ballot,0.43258014827382274
1061,Alabama,Geneva County,26314,0.0020141369613133693,46.64,Paper ballot,0.43258014827382274
1063,Alabama,Greene County,8233,0.005344345924936232,13.98,Paper ballot,0.43258014827382274
1065,Alabama,Hale County,14726,0.0037348906695640364,24.47,Paper ballot,0.43258014827382274
1067,Alabama,Henry County,17209,0.004939275960253356,30.8,Paper ballot,0.43258014827382274
1069,Alabama,Houston County,104722,0.0038769313038330053,175.13,Paper ballot,0.43258014827382274
1071,Alabama,Jackson County,51736,0.002242152466367713,49.38,Paper ballot,0.43258014827382274
1073,Alabama,Jefferson County,659300,0.0036872440467162143,592.53,Paper ballot,0.43258014827382274
1075,Alabama,Lamar County,13844,0.002167003756139844,24.08,Paper ballot,0.43258014827382274
1077,Alabama,Lauderdale County,92387,0.0025111758147791357,138.85,Paper ballot,0.43258014827382274
1079,Alabama,Lawrence County,32957,0.0015171283794034652,49.72,Paper ballot,0.43258014827382274
1081,Alabama,Lee County,163941,0.0038367461464795262,230.85,Paper ballot,0.43258014827382274
1083,Alabama,Limestone County,96174,0.004970158254829788,147.84,Paper ballot,0.43258014827382274
1085,Alabama,Lowndes County,9974,0.0071185081211148984,15.78,Paper ballot,0.43258014827382274
1087,Alabama,Macon County,18439,0.008297630023320136,35.23,Paper ballot,0.43258014827382274
1089,Alabama,Madison County,366519,0.005541322550809098,417.68,Paper ballot,0.43258014827382274
1091,Alabama,Marengo County,19066,0.0034092101122416866,21.52,Paper ballot,0.43258014827382274
