,countyfips,STNAME,CTYNAME,TOT_POP,PercentHBAC,dens2010,turnout,Q13,EQ_DRE with and without paper trail,EQ_DRE without paper trail,EQ_Mail,EQ_Paper and DRE with and without paper trail,EQ_Paper and DRE with paper trail,EQ_Paper and DRE without paper trail,EQ_Paper ballot
0,1001,Alabama,Autauga County,55601,0.003776910487221453,91.8,0.43258014827382274,1.0,0,0,0,0,0,0,1
1,1003,Alabama,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,2.0,0,0,0,0,0,0,1
2,1003,Alabama,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,4.0,0,0,0,0,0,0,1
3,1003,Alabama,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,3.0,0,0,0,0,0,0,1
4,1003,Alabama,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,1.0,0,0,0,0,0,0,1
5,1003,Alabama,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,3.0,0,0,0,0,0,0,1
6,1003,Alabama,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,3.0,0,0,0,0,0,0,1
7,1003,Alabama,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,3.0,0,0,0,0,0,0,1
8,1003,Alabama,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,2.0,0,0,0,0,0,0,1
9,1003,Alabama,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,4.0,0,0,0,0,0,0,1
10,1003,Alabama,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,3.0,0,0,0,0,0,0,1
11,1003,Alabama,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,1.0,0,0,0,0,0,0,1
12,1005,Alabama,Barbour County,24881,0.004300470238334472,31.03,0.43258014827382274,1.0,0,0,0,0,0,0,1
13,1009,Alabama,Blount County,57840,0.002385892116182573,88.9,0.43258014827382274,2.0,0,0,0,0,0,0,1
14,1009,Alabama,Blount County,57840,0.002385892116182573,88.9,0.43258014827382274,1.0,0,0,0,0,0,0,1
15,1009,Alabama,Blount County,57840,0.002385892116182573,88.9,0.43258014827382274,5.0,0,0,0,0,0,0,1
16,1009,Alabama,Blount County,57840,0.002385892116182573,88.9,0.43258014827382274,1.0,0,0,0,0,0,0,1
17,1009,Alabama,Blount County,57840,0.002385892116182573,88.9,0.43258014827382274,3.0,0,0,0,0,0,0,1
18,1011,Alabama,Bullock County,10138,0.0139080686525942,17.52,0.43258014827382274,2.0,0,0,0,0,0,0,1
19,1015,Alabama,Calhoun County,114277,0.003902797588316109,195.71,0.43258014827382274,1.0,0,0,0,0,0,0,1
20,1015,Alabama,Calhoun County,114277,0.003902797588316109,195.71,0.43258014827382274,2.0,0,0,0,0,0,0,1
21,1015,Alabama,Calhoun County,114277,0.003902797588316109,195.71,0.43258014827382274,3.0,0,0,0,0,0,0,1
22,1015,Alabama,Calhoun County,114277,0.003902797588316109,195.71,0.43258014827382274,2.0,0,0,0,0,0,0,1
23,1015,Alabama,Calhoun County,114277,0.003902797588316109,195.71,0.43258014827382274,2.0,0,0,0,0,0,0,1
24,1017,Alabama,Chambers County,33615,0.005176260597947345,57.36,0.43258014827382274,2.0,0,0,0,0,0,0,1
25,1017,Alabama,Chambers County,33615,0.005176260597947345,57.36,0.43258014827382274,1.0,0,0,0,0,0,0,1
26,1017,Alabama,Chambers County,33615,0.005176260597947345,57.36,0.43258014827382274,2.0,0,0,0,0,0,0,1
27,1019,Alabama,Cherokee County,26032,0.0006146281499692685,46.94,0.43258014827382274,3.0,0,0,0,0,0,0,1
28,1019,Alabama,Cherokee County,26032,0.0006146281499692685,46.94,0.43258014827382274,1.0,0,0,0,0,0,0,1
29,1019,Alabama,Cherokee County,26032,0.0006146281499692685,46.94,0.43258014827382274,1.0,0,0,0,0,0,0,1
30,1019,Alabama,Cherokee County,26032,0.0006146281499692685,46.94,0.43258014827382274,1.0,0,0,0,0,0,0,1
31,1021,Alabama,Chilton County,44153,0.004937376848685253,62.99,0.43258014827382274,3.0,0,0,0,0,0,0,1
32,1021,Alabama,Chilton County,44153,0.004937376848685253,62.99,0.43258014827382274,1.0,0,0,0,0,0,0,1
33,1029,Alabama,Cleburne County,14987,0.0010008674184293054,26.73,0.43258014827382274,2.0,0,0,0,0,0,0,1
34,1031,Alabama,Coffee County,51909,0.007281974224122984,73.56,0.43258014827382274,1.0,0,0,0,0,0,0,1
35,1031,Alabama,Coffee County,51909,0.007281974224122984,73.56,0.43258014827382274,1.0,0,0,0,0,0,0,1
