countyfips,CTYNAME,TOT_POP,PercentHBAC,dens2010,turnout,Q13,EQ_DRE with and without paper trail,EQ_DRE without paper trail,EQ_Mail,EQ_Paper and DRE with and without paper trail,EQ_Paper and DRE with paper trail,EQ_Paper and DRE without paper trail,EQ_Paper ballot,ST__Alabama,ST__Alaska,ST__Arizona,ST__Arkansas,ST__California,ST__Colorado,ST__Connecticut,ST__Delaware,ST__Florida,ST__Georgia,ST__Hawaii,ST__Idaho,ST__Illinois,ST__Indiana,ST__Iowa,ST__Kansas,ST__Kentucky,ST__Louisiana,ST__Maine,ST__Maryland,ST__Massachusetts,ST__Michigan,ST__Minnesota,ST__Mississippi,ST__Missouri,ST__Montana,ST__Nebraska,ST__Nevada,ST__New Hampshire,ST__New Jersey,ST__New Mexico,ST__New York,ST__North Carolina,ST__North Dakota,ST__Ohio,ST__Oklahoma,ST__Oregon,ST__Pennsylvania,ST__Rhode Island,ST__South Carolina,ST__South Dakota,ST__Tennessee,ST__Texas,ST__Utah,ST__Vermont,ST__Virginia,ST__Washington,ST__West Virginia,ST__Wisconsin,ST__Wyoming
1001,Autauga County,55601,0.003776910487221453,91.8,0.43258014827382274,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,2.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,4.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,3.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,3.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,3.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,3.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,2.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,Baldwin County,218022,0.0023483868600416473,114.65,0.43258014827382274,4.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
